Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Brewery,Brewery Latitude,Brewery Longitude,Brewery Category
Shroyer Park,39.7280355,-84.16066009999999,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
Shroyer Park,39.7280355,-84.16066009999999,Brewtensils,39.72921927386832,-84.14179748606989,Brewery
South Park,39.7496406,-84.18175670000001,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
South Park,39.7496406,-84.18175670000001,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
South Park,39.7496406,-84.18175670000001,Fifth Street Brewpub,39.758634,-84.171974,Brewery
South Park,39.7496406,-84.18175670000001,Toxic Brew Company,39.757367,-84.183959,Brewery
South Park,39.7496406,-84.18175670000001,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
South Park,39.7496406,-84.18175670000001,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
Southern Dayton View,39.763365500000006,-84.2252449,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Twin Towers,39.7487029,-84.166801,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Twin Towers,39.7487029,-84.166801,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Twin Towers,39.7487029,-84.166801,Toxic Brew Company,39.757367,-84.183959,Brewery
University Park,39.7358456,-84.1883478,Carillon Brewing Co.,39.728801401415105,-84.198198736269,Brewery
University Park,39.7358456,-84.1883478,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
University Park,39.7358456,-84.1883478,Ingram Street Brew Works,39.748006626682425,-84.17867302894592,Brewery
University Row,39.7721543,-84.2212928,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Walnut Hills,39.7434459,-84.16066009999999,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Walnut Hills,39.7434459,-84.16066009999999,Ingram Street Brew Works,39.748006626682425,-84.17867302894592,Brewery
Walnut Hills,39.7434459,-84.16066009999999,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
Oregon,39.757308,-84.1824895,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
Oregon,39.757308,-84.1824895,Toxic Brew Company,39.757367,-84.183959,Brewery
Oregon,39.757308,-84.1824895,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
Oregon,39.757308,-84.1824895,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Oregon,39.757308,-84.1824895,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Oregon,39.757308,-84.1824895,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
