Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Coffeeshop,Coffeeshop Latitude,Coffeeshop Longitude,Coffeeshop Category
Oregon,39.757308,-84.1824895,The Ohio Coffee Co.,39.756540468161404,-84.1926945004844,Coffee Shop
Oregon,39.757308,-84.1824895,3rd Perk,39.75632235066323,-84.19245922951089,Coffee Shop
Oregon,39.757308,-84.1824895,Biggby Coffee,39.749,-84.185295,Coffee Shop
Oregon,39.757308,-84.1824895,Starbucks,39.762834,-84.190413,Coffee Shop
Oregon,39.757308,-84.1824895,Boston Stoker,39.76073496636144,-84.1932257506316,Coffee Shop
Oregon,39.757308,-84.1824895,Reza’s Downtown,39.755619,-84.180195,Coffee Shop
Oregon,39.757308,-84.1824895,Caffeine Carl,39.76263558583332,-84.1809942433199,Coffee Shop
Oregon,39.757308,-84.1824895,Wholly Grounds Coffee House,39.752375,-84.177471,Coffee Shop
Oregon,39.757308,-84.1824895,St. Anne The Tart,39.758415,-84.173211,Coffee Shop
Oregon,39.757308,-84.1824895,Winans Chocolates + Coffees,39.764073,-84.187457,Coffee Shop
Oregon,39.757308,-84.1824895,La Gota Coffee,39.765663,-84.179504,Coffee Shop
